Timestamp,Sail,TWS,TWA,BoatSpeed,Notes
2026-06-29T07:18:09.624Z,A6,3.97,97,2.75,On Target
2026-06-29T09:22:20.745Z,A6,3.86,96,3.07,Surfing/Planing
2026-06-29T17:03:27.626Z,A6,4.23,96,2.75,On Target
2026-06-29T10:05:27.051Z,A6,4.11,101,2.43,Poor Trim
2026-06-29T00:44:26.257Z,A6,3.73,100,2.37,Poor Trim
2026-06-29T22:17:01.860Z,A6,3.81,101,2.72,On Target
2026-06-29T19:11:39.476Z,A6,4.21,105,2.77,On Target
2026-06-29T11:30:10.427Z,A6,3.72,103,2.82,On Target
2026-06-29T17:11:22.532Z,A6,4.09,104,2.84,On Target
2026-06-29T00:08:48.908Z,A6,4.00,109,2.77,On Target
2026-06-29T21:55:30.537Z,A6,4.10,111,2.87,On Target
2026-06-29T21:33:23.197Z,A6,4.27,110,2.98,Surfing/Planing
2026-06-29T20:55:05.683Z,A6,3.71,114,2.82,On Target
2026-06-28T23:00:44.202Z,A6,3.75,116,3.02,Surfing/Planing
2026-06-29T04:22:21.460Z,A6,3.81,115,2.74,On Target
2026-06-28T20:20:36.136Z,A6,4.04,122,2.81,On Target
2026-06-29T14:38:23.791Z,A6,4.06,119,2.77,On Target
2026-06-29T11:30:23.726Z,A6,4.21,121,3.19,Surfing/Planing
2026-06-29T12:00:10.853Z,A6,6.03,94,4.18,Poor Trim
2026-06-29T15:17:49.439Z,A6,6.17,97,4.08,Poor Trim
2026-06-29T01:10:04.919Z,A6,5.78,97,4.19,Poor Trim
2026-06-29T04:33:50.877Z,A6,5.83,100,4.16,Poor Trim
2026-06-29T14:40:06.884Z,A6,5.82,101,5.09,Surfing/Planing
2026-06-29T01:59:17.269Z,A6,5.94,98,5.11,Surfing/Planing
2026-06-29T23:44:07.361Z,A6,6.14,106,5.36,Surfing/Planing
2026-06-29T18:11:41.121Z,A6,6.06,105,3.88,Poor Trim
2026-06-29T04:24:04.821Z,A6,6.13,104,4.65,On Target
2026-06-29T23:11:29.320Z,A6,5.83,112,4.84,On Target
2026-06-29T19:26:53.383Z,A6,5.80,110,4.67,On Target
2026-06-29T11:55:58.914Z,A6,5.95,111,4.65,On Target
2026-06-28T23:07:15.860Z,A6,5.90,115,4.71,On Target
2026-06-29T07:37:50.205Z,A6,5.84,114,4.65,On Target
2026-06-29T05:24:30.430Z,A6,5.83,113,4.65,On Target
