Timestamp,Sail,TWS,TWA,BoatSpeed,Notes
2026-06-29T23:40:29.524Z,A6,3.74,97,2.80,On Target
2026-06-29T12:44:07.831Z,A6,3.98,94,2.84,On Target
2026-06-29T16:50:18.443Z,A6,3.79,96,2.75,On Target
2026-06-29T13:46:44.140Z,A6,3.88,100,2.88,On Target
2026-06-29T17:07:26.640Z,A6,4.23,98,2.34,Poor Trim
2026-06-29T15:55:04.878Z,A6,4.03,101,2.55,Poor Trim
2026-06-29T08:37:08.925Z,A6,4.07,106,3.11,Surfing/Planing
2026-06-28T22:24:39.513Z,A6,4.20,103,2.40,Poor Trim
2026-06-29T12:11:08.427Z,A6,3.71,103,2.78,On Target
2026-06-29T12:08:48.429Z,A6,3.98,112,2.83,On Target
2026-06-29T14:48:55.207Z,A6,3.91,108,2.55,Poor Trim
2026-06-29T15:02:37.303Z,A6,3.81,111,2.72,On Target
2026-06-29T04:59:34.622Z,A6,4.25,115,2.83,On Target
2026-06-28T22:26:52.198Z,A6,3.77,115,2.87,On Target
2026-06-28T21:19:10.160Z,A6,4.20,115,3.21,Surfing/Planing
2026-06-29T08:45:43.173Z,A6,4.19,118,2.77,On Target
2026-06-29T03:52:52.840Z,A6,4.03,121,3.10,Surfing/Planing
2026-06-29T01:08:04.051Z,A6,3.96,121,2.81,On Target
2026-06-29T15:19:21.617Z,A6,5.84,93,4.30,Poor Trim
2026-06-29T00:51:03.108Z,A6,6.08,93,4.73,On Target
2026-06-29T04:05:15.024Z,A6,6.30,94,5.24,Surfing/Planing
2026-06-29T01:38:28.255Z,A6,6.07,102,4.32,Poor Trim
2026-06-29T09:55:06.833Z,A6,6.04,98,4.62,On Target
2026-06-29T01:24:05.778Z,A6,6.22,101,4.84,On Target
2026-06-29T07:04:29.003Z,A6,6.14,107,4.62,On Target
2026-06-29T07:46:39.229Z,A6,6.18,107,4.11,Poor Trim
2026-06-29T10:43:49.505Z,A6,6.02,103,4.68,On Target
2026-06-29T10:44:08.798Z,A6,5.80,108,3.87,Poor Trim
2026-06-29T21:01:17.166Z,A6,6.23,112,3.94,Poor Trim
2026-06-29T12:44:56.258Z,A6,6.00,111,4.66,On Target
2026-06-29T02:00:47.403Z,A6,6.13,117,4.78,On Target
2026-06-29T12:33:03.449Z,A6,6.04,114,4.78,On Target
2026-06-29T21:46:38.650Z,A6,5.85,117,4.78,On Target
2026-06-29T12:03:37.015Z,A6,5.91,122,4.66,On Target
2026-06-29T10:45:03.529Z,A6,6.20,120,5.19,Surfing/Planing
2026-06-29T11:52:48.547Z,A6,5.90,120,4.81,On Target
2026-06-29T08:06:14.127Z,A6,8.29,97,6.57,On Target
2026-06-29T04:37:12.833Z,A6,8.26,95,6.47,On Target
2026-06-29T04:44:29.811Z,A6,7.93,96,7.18,Surfing/Planing
2026-06-29T15:47:41.649Z,A6,7.75,101,6.78,On Target
2026-06-29T15:10:58.184Z,A6,7.86,98,6.77,On Target
2026-06-29T02:13:01.288Z,A6,8.20,102,6.79,On Target
2026-06-29T16:09:00.771Z,A6,8.02,104,6.70,On Target
2026-06-29T06:40:27.032Z,A6,8.14,106,6.51,On Target
2026-06-29T00:53:25.485Z,A6,7.99,103,6.59,On Target
2026-06-29T08:27:26.500Z,A6,8.03,112,7.03,Surfing/Planing
2026-06-29T21:10:24.679Z,A6,7.87,110,6.76,On Target
2026-06-29T00:11:13.474Z,A6,8.02,112,6.60,On Target
2026-06-28T22:16:46.269Z,A6,8.11,116,6.76,On Target
2026-06-28T21:03:58.093Z,A6,8.21,113,5.91,Poor Trim
2026-06-29T21:05:46.704Z,A6,7.75,117,6.64,On Target
2026-06-29T16:43:02.764Z,A6,8.18,121,5.71,Poor Trim
2026-06-28T20:47:29.298Z,A6,7.75,118,6.71,On Target
2026-06-29T04:47:48.550Z,A6,7.86,120,5.73,Poor Trim
2026-06-29T11:51:24.919Z,A6,10.03,93,8.40,On Target
2026-06-29T04:46:55.466Z,A6,10.20,93,7.58,Poor Trim
2026-06-28T23:11:46.578Z,A6,9.87,97,8.41,On Target
2026-06-29T21:22:02.622Z,A6,9.76,102,8.38,On Target
2026-06-29T09:36:46.137Z,A6,9.74,100,8.64,On Target
2026-06-29T19:29:32.990Z,A6,10.14,98,8.35,On Target
2026-06-28T23:32:40.817Z,A6,9.72,103,9.71,Surfing/Planing
2026-06-29T10:33:46.077Z,A6,10.05,106,7.41,Poor Trim
2026-06-29T21:55:50.938Z,A6,10.06,106,8.28,On Target
2026-06-29T08:09:42.538Z,A6,9.92,108,9.16,Surfing/Planing
2026-06-29T19:41:17.489Z,A6,9.87,109,8.67,On Target
2026-06-28T23:56:36.701Z,A6,10.16,111,9.47,Surfing/Planing
2026-06-29T04:29:54.184Z,A6,10.11,114,8.58,On Target
2026-06-29T14:54:21.671Z,A6,9.85,115,8.59,On Target
2026-06-29T12:09:07.717Z,A6,10.13,114,8.51,On Target
2026-06-29T11:46:24.682Z,A6,9.94,122,7.44,Poor Trim
2026-06-29T08:59:37.431Z,A6,10.10,121,7.33,Poor Trim
2026-06-28T21:44:35.573Z,A6,10.13,120,8.41,On Target
2026-06-28T20:53:55.161Z,A6,11.74,96,9.02,On Target
2026-06-29T10:19:38.626Z,A6,11.84,97,10.12,Surfing/Planing
2026-06-28T21:45:24.120Z,A6,11.80,95,7.56,Poor Trim
2026-06-29T04:30:54.682Z,A6,12.16,99,7.96,Poor Trim
2026-06-29T05:31:49.021Z,A6,11.89,100,9.89,Surfing/Planing
2026-06-29T08:41:28.753Z,A6,12.12,99,8.10,Poor Trim
2026-06-29T20:41:35.087Z,A6,12.03,105,9.34,On Target
2026-06-29T03:24:37.239Z,A6,12.05,106,9.31,On Target
2026-06-29T06:57:11.521Z,A6,12.07,105,9.31,On Target
2026-06-29T03:56:25.427Z,A6,12.23,112,9.24,On Target
2026-06-29T19:49:39.239Z,A6,11.85,112,9.39,On Target
2026-06-29T22:57:07.150Z,A6,12.15,110,9.04,On Target
2026-06-29T18:54:56.344Z,A6,11.90,116,9.07,On Target
2026-06-29T21:00:16.833Z,A6,11.89,117,7.66,Poor Trim
2026-06-29T16:57:59.026Z,A6,12.14,113,8.89,On Target
2026-06-28T20:52:49.134Z,A6,12.00,122,9.10,On Target
2026-06-29T02:36:21.567Z,A6,11.86,119,9.31,On Target
2026-06-29T09:00:46.409Z,A6,12.14,119,9.03,On Target
2026-06-29T22:14:00.960Z,A6,13.94,94,9.63,On Target
2026-06-29T14:59:47.253Z,A6,13.76,94,11.20,Surfing/Planing
2026-06-29T07:46:56.773Z,A6,14.14,97,8.26,Poor Trim
2026-06-29T18:14:33.470Z,A6,13.95,100,8.51,Poor Trim
2026-06-29T13:43:58.096Z,A6,13.71,98,9.79,On Target
2026-06-29T15:37:59.815Z,A6,13.73,100,10.05,On Target
2026-06-29T08:57:24.952Z,A6,14.13,107,10.65,Surfing/Planing
2026-06-28T23:57:40.935Z,A6,14.19,106,11.01,Surfing/Planing
2026-06-29T04:23:39.607Z,A6,13.89,104,9.74,On Target
2026-06-29T02:49:55.718Z,A6,13.74,110,9.68,On Target
